,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Population.2014 Population,Population.Population per Square Mile
2837,Carroll,VA,21.7,19.3,4.4,12.8,76.2,0.3,0.2,0.9,3.1,0.0,0.7,97.8,95.0,32853,19385,18.1,29621,63.3
2838,Charles City,VA,21.3,15.8,3.2,13.9,75.9,7.2,0.4,47.5,1.7,0.1,2.7,42.1,41.1,48428,26198,11.8,7023,39.7
2839,Charlotte,VA,20.2,21.6,5.5,15.6,74.8,0.4,0.3,29.3,2.8,0.0,1.5,68.5,66.9,33015,18762,17.9,12225,26.5
2840,Chesterfield,VA,12.8,24.4,5.8,36.3,90.1,0.6,3.6,23.3,8.0,0.1,2.6,69.8,63.4,72088,32572,6.7,332499,747.1
2841,Clarke,VA,18.1,21.4,5.3,31.3,89.0,0.4,1.2,5.1,4.4,0.1,2.5,90.8,87.0,77597,38748,6.7,14423,79.7
2842,Craig,VA,21.1,19.3,4.5,14.6,89.7,0.3,0.2,0.2,1.0,0.0,0.9,98.4,97.7,47806,21498,8.7,5234,15.7
2843,Culpeper,VA,13.9,25.4,6.5,22.6,84.3,0.7,1.5,15.8,9.2,0.1,3.0,78.9,71.4,64423,27379,9.1,49166,123.1
2844,Cumberland,VA,19.3,21.0,5.4,14.0,76.9,0.6,0.4,32.2,2.4,0.0,2.1,64.8,63.1,40557,21540,16.3,9827,33.8
2845,Dickenson,VA,18.9,20.6,5.2,10.5,72.4,0.2,0.2,0.4,0.9,0.0,0.5,98.7,97.9,33318,18215,20.9,15308,48.1
2846,Dinwiddie,VA,16.3,20.3,4.4,12.8,80.2,0.4,0.6,32.7,2.9,0.1,1.6,64.6,62.5,52027,23781,13.2,27859,55.6
