,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Population.2014 Population,Population.Population per Square Mile
0,Autauga,AL,13.8,25.2,6.0,20.9,85.6,0.5,1.1,18.7,2.7,0.1,1.8,77.9,75.6,53682,24571,12.1,55395,91.8
1,Baldwin,AL,18.7,22.2,5.6,27.7,89.1,0.7,0.9,9.6,4.6,0.1,1.6,87.1,83.0,50221,26766,13.9,200111,114.6
2,Barbour,AL,16.5,21.2,5.7,13.4,73.7,0.6,0.5,47.6,4.5,0.2,0.9,50.2,46.6,32911,16829,26.7,26887,31.0
3,Bibb,AL,14.8,21.0,5.3,12.1,77.5,0.4,0.2,22.1,2.1,0.1,0.9,76.3,74.5,36447,17427,18.1,22506,36.8
4,Blount,AL,17.0,23.6,6.1,12.1,77.0,0.6,0.3,1.8,8.7,0.1,1.2,96.0,87.8,44145,20730,15.8,57719,88.9
5,Bullock,AL,14.9,21.4,6.3,12.5,67.8,0.8,0.3,70.1,7.5,0.7,1.1,26.9,22.1,32033,18628,21.6,10764,17.5
6,Butler,AL,18.0,23.6,6.1,14.0,76.3,0.4,0.9,44.0,1.2,0.0,0.8,53.9,53.1,29918,17403,28.4,20296,27.0
7,Calhoun,AL,16.0,22.2,5.7,16.1,78.6,0.5,0.9,21.1,3.5,0.1,1.7,75.8,72.9,39962,20828,21.9,115916,195.7
8,Chambers,AL,18.3,21.4,5.9,11.8,75.1,0.3,0.8,39.5,2.0,0.1,1.1,58.3,56.8,32402,19291,24.1,34076,57.4
9,Cherokee,AL,20.9,20.4,4.8,12.8,78.3,0.5,0.3,4.6,1.5,0.0,1.6,93.0,91.6,34907,22030,21.2,26037,46.9
10,Chilton,AL,15.2,24.2,6.4,12.9,76.0,0.5,0.4,10.6,7.7,0.2,1.2,87.1,80.3,41250,20701,19.5,43931,63.0
11,Choctaw,AL,20.8,20.6,4.9,11.8,75.2,0.2,0.3,42.4,0.8,0.0,0.5,56.6,56.1,33941,20323,21.5,13323,15.2
12,Clarke,AL,18.0,22.6,5.6,11.2,78.3,0.4,0.5,44.2,1.3,0.0,0.8,54.0,53.1,29357,18979,29.3,24945,20.9
13,Clay,AL,19.4,21.6,5.3,9.2,76.5,0.6,0.3,14.5,3.4,0.0,1.8,82.8,79.7,34002,18694,19.0,13552,23.1
14,Cleburne,AL,18.4,23.3,5.7,9.0,76.0,0.4,0.2,3.6,2.5,0.1,1.2,94.5,92.3,38019,19108,18.4,15080,26.7
15,Coffee,AL,15.9,23.7,6.1,22.5,82.4,1.4,1.6,17.7,6.4,0.4,2.5,76.4,71.3,43768,23380,18.6,50909,73.6
16,Colbert,AL,18.5,21.7,5.7,17.7,83.5,0.6,0.5,16.3,2.6,0.1,1.7,80.8,78.8,39077,21572,17.9,54543,91.8
17,Conecuh,AL,20.4,21.4,5.5,8.8,77.3,0.4,0.1,46.2,1.8,0.0,1.2,52.1,51.1,24658,15605,32.7,12670,15.6
18,Coosa,AL,18.5,18.3,4.8,9.8,75.0,0.6,0.2,31.8,2.3,0.2,1.2,66.1,64.8,37277,18493,20.9,10886,17.7
19,Covington,AL,19.8,22.1,5.9,14.2,78.4,0.6,0.5,13.0,1.6,0.0,1.6,84.3,83.1,35869,20391,20.0,37914,36.6
20,Crenshaw,AL,18.0,22.7,6.1,12.7,76.7,0.5,1.8,24.0,1.7,0.1,1.6,72.0,70.6,36275,21343,19.1,13977,22.8
21,Cullman,AL,17.6,22.5,5.9,14.8,79.8,0.6,0.5,1.4,4.4,0.0,1.2,96.2,92.1,38847,20760,18.8,81289,109.4
22,Dale,AL,15.4,23.6,6.3,17.0,84.1,0.8,1.3,19.7,6.1,0.1,2.8,75.2,70.2,44889,22685,17.4,49484,89.6
23,Dallas,AL,15.6,25.2,6.7,14.2,77.5,0.2,0.5,69.5,1.0,0.0,0.7,29.0,28.5,26519,17245,35.5,41711,44.8
24,DeKalb,AL,15.7,24.7,6.2,10.7,70.6,2.1,0.4,2.1,14.2,0.7,2.2,92.4,80.6,37851,18149,19.9,71065,91.5
25,Elmore,AL,14.0,23.0,5.9,21.0,86.6,0.4,0.7,21.2,2.7,0.1,1.6,76.0,73.7,54766,23856,13.4,80977,128.2
26,Escambia,AL,16.7,22.0,6.1,11.7,76.2,3.4,0.3,32.4,2.1,0.1,1.7,62.2,60.6,30687,16540,25.4,37733,40.5
27,Etowah,AL,17.3,22.1,5.7,14.8,81.8,0.5,0.8,15.5,3.7,0.3,1.6,81.2,78.4,38013,20204,19.0,103531,195.2
28,Fayette,AL,19.6,21.7,5.4,13.2,74.9,0.4,0.3,11.9,1.4,0.0,1.1,86.2,85.0,33838,18494,19.9,16874,27.5
29,Franklin,AL,15.9,24.3,6.6,11.0,72.5,1.5,0.4,4.6,16.1,0.2,1.5,91.9,78.0,36415,18888,21.9,31601,50.0
30,Geneva,AL,19.2,22.2,5.8,10.4,77.2,1.0,0.4,9.7,3.6,0.1,1.7,87.1,84.1,35625,20199,21.2,26712,46.6
31,Greene,AL,17.9,23.3,5.9,12.8,76.2,0.2,0.2,80.5,1.0,0.0,0.6,18.5,17.9,24226,14930,32.9,8553,14.0
32,Hale,AL,17.3,23.3,6.2,12.8,77.4,0.2,0.3,58.1,1.3,0.0,0.6,40.8,40.0,30051,18812,26.6,15184,24.5
33,Henry,AL,20.8,21.2,5.5,16.6,80.1,0.3,0.7,27.3,2.6,0.0,1.2,70.4,68.4,41650,21924,14.4,17190,30.8
34,Houston,AL,16.1,23.7,6.2,19.7,83.9,0.5,0.9,26.7,3.3,0.1,1.8,70.0,67.3,40948,23316,18.0,104193,175.1
35,Jackson,AL,18.6,21.7,5.4,13.0,74.6,1.6,0.5,3.6,2.9,0.1,2.6,91.5,89.4,37634,20486,16.0,52665,49.4
36,Jefferson,AL,14.3,23.1,6.6,30.0,87.4,0.3,1.6,42.9,3.8,0.1,1.1,54.0,50.8,45429,26906,18.0,660793,592.5
37,Lamar,AL,20.5,21.7,5.0,9.5,76.1,0.2,0.1,11.3,1.4,0.0,1.4,87.1,85.8,36028,19026,22.3,14086,24.1
38,Lauderdale,AL,18.2,20.5,5.2,21.1,83.8,0.5,0.9,10.4,2.4,0.1,1.5,86.7,84.7,42844,23510,17.2,93096,138.8
39,Lawrence,AL,16.8,21.7,5.3,11.9,77.1,5.8,0.2,11.4,2.2,0.0,4.4,78.1,76.4,38551,20181,17.5,33477,49.7
40,Lee,AL,10.3,21.6,5.8,32.5,86.7,0.4,3.3,23.7,3.9,0.1,1.5,70.9,67.7,43542,23506,22.0,154255,230.8
41,Limestone,AL,13.8,23.4,5.9,22.7,81.5,0.8,1.4,13.5,5.8,0.2,2.1,82.0,77.2,48619,25020,14.7,90787,147.8
42,Lowndes,AL,17.4,23.1,6.7,14.4,73.9,0.3,0.2,72.9,1.2,0.0,0.8,25.8,25.3,26230,18368,26.7,10580,15.8
43,Macon,AL,16.8,18.3,4.7,19.6,80.0,0.2,0.3,81.5,1.5,0.0,1.4,16.7,16.2,30724,16826,27.3,19425,35.2
44,Madison,AL,13.7,22.4,5.8,38.5,90.0,0.8,2.6,24.6,4.7,0.1,2.5,69.4,65.5,58434,31933,12.8,350299,417.7
45,Marengo,AL,18.6,23.0,6.0,17.4,83.7,0.3,0.3,51.0,2.4,0.2,0.8,47.4,45.6,35079,22072,24.0,20110,21.5
46,Marion,AL,20.1,21.2,5.4,9.5,74.6,0.3,0.3,4.2,2.5,0.1,1.2,93.9,91.7,32888,19576,20.9,30271,41.5
47,Marshall,AL,16.3,24.5,6.6,15.2,76.2,1.1,0.7,2.7,12.9,0.3,1.6,93.7,82.3,39526,20382,19.5,94636,164.4
48,Mobile,AL,14.5,24.0,6.7,20.7,83.9,1.0,2.0,35.3,2.8,0.1,1.5,60.1,57.8,43028,22501,19.8,415123,335.9
49,Monroe,AL,17.9,23.4,5.5,10.6,76.1,1.3,0.4,41.1,1.2,0.0,1.6,55.5,54.7,29203,15749,28.6,21947,22.5
50,Montgomery,AL,13.3,24.0,6.8,31.5,85.6,0.3,2.6,56.7,3.4,0.1,1.3,38.9,36.3,44790,24975,21.2,226189,292.5
51,Morgan,AL,15.9,23.1,6.0,19.9,81.4,1.1,0.7,12.5,7.9,0.1,2.0,83.5,76.6,44800,23764,15.7,119607,206.3
52,Perry,AL,17.9,22.4,5.5,10.4,70.2,0.2,0.4,67.5,1.3,0.1,0.7,31.1,30.3,28209,13716,25.6,9826,14.7
53,Pickens,AL,17.8,20.5,5.2,11.0,79.7,0.2,0.3,40.2,4.1,0.4,0.9,58.1,54.7,28741,17153,27.2,20365,22.4
54,Pike,AL,14.1,19.4,5.7,23.0,81.0,0.7,2.2,36.9,2.2,0.1,1.6,58.5,57.1,33090,19715,27.6,33389,48.9
55,Randolph,AL,19.6,22.0,5.7,11.1,72.6,0.5,0.3,20.2,2.9,0.1,1.4,77.6,75.0,35213,19830,24.5,22539,39.5
56,Russell,AL,12.5,25.3,7.6,16.0,80.4,0.6,0.8,42.9,5.0,0.2,2.4,53.1,49.5,36143,19678,22.0,59608,82.6
57,St. Clair,AL,15.3,23.0,6.1,15.5,82.0,0.4,0.8,9.5,2.3,0.1,1.3,87.9,85.9,50786,23872,15.2,86697,132.3
58,Shelby,AL,13.0,24.4,6.0,40.3,91.2,0.4,2.2,12.1,6.0,0.0,1.3,84.0,78.5,68770,33313,7.9,206655,248.5
59,Sumter,AL,16.3,19.7,4.8,14.9,75.5,0.1,0.4,73.5,1.1,0.0,0.5,25.5,24.8,22186,14156,38.0,13166,15.2
60,Talladega,AL,16.1,22.3,5.5,13.0,78.9,0.4,0.4,32.5,2.3,0.0,1.5,65.2,63.4,35439,19410,22.9,81322,111.7
61,Tallapoosa,AL,19.6,21.1,5.8,16.3,79.2,0.4,0.5,27.3,2.3,0.0,1.2,70.6,68.9,39130,21434,19.8,41165,58.1
62,Tuscaloosa,AL,11.7,21.1,6.0,27.0,86.6,0.3,1.5,31.0,3.3,0.1,1.1,66.0,63.2,45408,22637,18.9,202212,147.3
63,Walker,AL,18.2,22.1,5.8,10.5,76.4,0.5,0.4,6.4,2.3,0.1,1.3,91.3,89.4,37566,20698,20.9,65471,84.7
64,Washington,AL,17.0,22.5,4.9,9.5,80.5,7.9,0.1,24.6,1.4,0.1,1.3,66.0,65.1,42156,20395,18.4,16834,16.3
65,Wilcox,AL,17.7,24.8,5.7,11.1,76.1,0.2,0.1,71.0,1.0,0.0,0.6,28.1,27.6,23642,13379,39.2,11098,13.1
66,Winston,AL,20.0,20.9,5.0,10.4,72.7,0.9,0.3,1.0,2.9,0.2,1.4,96.3,94.0,32900,18995,24.0,24150,39.9
67,Aleutians East Borough,AK,6.6,10.1,2.8,12.0,78.5,20.5,40.7,12.0,13.2,0.6,3.4,22.8,11.5,61250,26535,16.7,3360,0.4
68,Aleutians West Census Area,AK,5.4,12.3,3.6,13.3,82.7,13.0,34.5,7.6,14.1,2.3,4.7,37.8,26.9,81853,31790,9.2,5750,1.3
69,Anchorage Municipality,AK,8.9,24.9,7.4,32.8,92.5,8.2,9.2,6.3,8.9,2.4,7.8,66.1,59.7,77454,36214,7.9,301010,171.2
70,Bethel Census Area,AK,6.6,36.1,11.1,11.7,79.5,81.7,1.1,0.8,1.8,0.2,4.1,12.1,11.5,51689,18497,22.8,17868,0.4
71,Bristol Bay Borough,AK,9.7,20.1,5.2,19.4,91.7,35.2,1.0,0.0,4.3,0.3,17.3,46.1,44.1,79531,37024,7.9,957,2.0
72,Denali Borough,AK,8.5,18.8,4.7,28.1,88.8,3.7,3.6,1.8,3.7,0.1,4.8,86.0,82.7,72500,35295,11.4,1921,0.1
73,Dillingham Census Area,AK,7.9,31.9,11.0,17.8,83.7,70.4,0.9,0.7,3.1,0.2,9.1,18.7,17.6,54150,21498,18.1,4988,0.3
74,Fairbanks North Star Borough,AK,8.0,24.1,7.7,29.0,93.1,7.3,3.1,5.4,7.7,0.5,6.3,77.3,71.3,69223,32143,8.4,99357,13.3
75,Haines Borough,AK,16.8,19.1,3.7,30.1,96.4,10.4,1.1,0.7,2.5,0.0,8.8,79.1,77.5,52866,31096,7.8,2566,1.1
76,Hoonah-Angoon Census Area,AK,16.5,19.4,5.2,26.9,88.4,39.5,0.7,0.6,5.1,0.1,10.3,48.8,47.2,49545,28806,14.9,2082,0.3
77,Juneau City and Borough,AK,10.6,22.1,5.9,36.7,95.5,11.9,6.2,1.6,6.5,1.1,9.3,69.9,65.5,81490,37558,6.2,32406,11.6
78,Kenai Peninsula Borough,AK,14.2,23.1,6.4,23.7,92.8,7.3,1.4,0.8,4.0,0.3,5.7,84.5,81.4,61793,31256,8.6,57477,3.4
79,Ketchikan Gateway Borough,AK,12.5,22.8,6.5,25.4,93.5,13.8,7.5,0.9,4.9,0.2,9.1,68.4,65.2,62519,31589,10.2,13787,2.8
80,Kodiak Island Borough,AK,8.6,26.0,8.0,20.0,89.6,13.0,20.7,1.5,8.7,0.9,6.7,57.2,50.8,68718,28562,11.7,13986,2.1
81,Lake and Peninsula Borough,AK,9.0,28.1,9.3,15.4,86.8,63.4,0.3,1.0,3.2,0.3,9.9,25.1,23.6,51786,21616,21.1,1631,0.1
82,Matanuska-Susitna Borough,AK,9.6,27.3,7.2,21.3,92.4,6.4,1.4,1.3,4.7,0.4,6.7,83.8,80.3,71037,29534,9.9,97882,3.6
83,Nome Census Area,AK,7.3,34.9,11.1,17.1,84.1,74.5,1.2,0.7,2.0,0.1,6.3,17.3,16.5,49974,20271,27.7,9817,0.4
84,North Slope Borough,AK,4.8,25.8,8.6,14.5,86.0,52.1,5.8,1.5,3.9,1.6,5.1,33.9,32.1,80761,46457,10.3,9703,0.1
85,Northwest Arctic Borough,AK,6.9,36.1,11.5,11.0,78.7,78.8,0.9,1.0,2.1,0.2,6.0,13.1,12.1,61607,21461,22.0,7717,0.2
86,Petersburg Borough,AK,13.3,22.3,6.7,25.7,95.7,9.8,3.1,1.6,5.6,0.3,7.3,77.9,73.6,63934,34183,13.5,3160,1.2
87,Prince of Wales-Hyder Census Area,AK,11.4,24.1,6.5,15.7,91.0,42.4,0.7,0.4,3.3,0.4,9.0,47.2,45.5,46071,24581,15.1,6396,1.4
88,Sitka City and Borough,AK,13.2,22.2,6.1,34.1,91.2,15.9,6.6,1.1,6.0,0.3,9.1,67.0,63.6,69405,32521,10.0,8900,3.1
89,Skagway Municipality,AK,10.6,13.1,5.2,24.3,95.2,5.0,0.7,0.3,4.3,0.2,4.0,89.9,86.2,71667,37139,5.5,1036,2.1
90,Southeast Fairbanks Census Area,AK,12.0,25.6,7.7,23.1,93.1,11.6,1.3,1.5,4.9,0.5,5.2,80.0,76.2,56801,29437,13.3,6931,0.3
91,Valdez-Cordova Census Area,AK,10.1,24.5,7.1,23.9,91.0,13.5,4.0,0.9,4.7,0.7,6.9,74.0,70.7,74878,32579,8.3,9488,0.3
92,Wade Hampton Census Area,AK,5.2,42.0,13.7,5.4,76.6,91.7,0.3,0.2,1.1,0.0,2.6,5.2,4.9,40176,11210,31.4,8010,0.4
93,Wrangell City and Borough,AK,17.9,20.3,4.8,16.7,89.0,16.9,1.9,0.4,2.2,0.0,10.3,70.6,69.2,45841,28474,9.5,2364,0.9
94,Yakutat City and Borough,AK,12.8,19.2,5.7,22.7,93.2,36.1,4.6,2.5,3.3,1.7,15.3,39.8,37.2,72500,34317,5.9,635,0.1
95,Yukon-Koyukuk Census Area,AK,13.3,27.8,8.3,9.3,80.3,70.7,0.3,0.6,2.0,0.1,5.0,23.2,22.0,34710,19729,24.2,5547,0.0
96,Apache,AZ,13.5,29.3,7.6,10.4,74.5,73.5,0.4,0.9,6.4,0.1,1.8,23.4,19.0,31476,12709,36.2,71828,6.4
97,Cochise,AZ,19.9,22.4,6.5,22.5,85.8,1.7,2.2,4.7,34.6,0.4,3.1,87.9,56.1,45755,23608,17.1,127448,21.3
98,Coconino,AZ,11.1,21.8,6.1,31.1,87.6,27.3,1.8,1.6,13.9,0.2,2.8,66.4,54.9,49555,23382,23.0,137682,7.2
99,Gila,AZ,26.6,20.4,5.7,16.1,84.3,16.5,0.8,0.9,18.8,0.1,1.6,80.2,63.2,39954,20792,21.6,53119,11.3
100,Graham,AZ,12.3,28.3,7.7,12.3,84.4,14.0,0.7,2.1,32.1,0.2,1.8,81.1,51.4,44943,17168,22.3,37957,8.1
101,Greenlee,AZ,11.6,28.1,6.8,11.1,84.3,3.3,0.8,1.8,46.6,0.2,2.3,91.5,47.8,47992,20516,16.0,9346,4.6
102,La Paz,AZ,36.1,17.4,4.6,9.3,75.3,17.8,0.9,1.2,25.7,0.1,2.9,77.1,59.3,35776,22200,19.4,20231,4.6
103,Maricopa,AZ,13.8,25.1,6.7,29.8,86.4,2.8,4.1,5.7,30.3,0.3,2.8,84.4,57.0,53596,27256,16.7,4087191,414.9
104,Mohave,AZ,26.9,18.7,4.6,11.9,83.8,2.9,1.2,1.3,15.8,0.2,2.3,92.0,78.0,39200,20833,19.4,203361,15.0
105,Navajo,AZ,15.8,28.0,7.3,14.9,80.6,44.9,0.7,1.3,11.1,0.1,2.0,51.0,42.2,36927,16626,30.3,108101,10.8
106,Pima,AZ,17.7,21.9,5.9,29.8,87.2,4.3,3.1,4.1,36.1,0.2,2.8,85.5,53.3,45841,25269,19.2,1004516,106.7
107,Pinal,AZ,18.0,24.4,6.0,18.0,84.7,6.8,1.9,4.9,29.2,0.4,2.8,83.2,57.9,50027,20910,15.6,401918,70.0
108,Santa Cruz,AZ,15.8,28.3,7.3,19.8,72.5,1.3,0.7,0.9,82.8,0.1,0.8,96.2,15.6,37745,17664,26.3,46695,38.3
109,Yavapai,AZ,28.1,17.4,4.1,24.2,90.2,2.1,1.0,0.9,14.2,0.1,2.2,93.6,80.9,42987,25186,15.8,218844,26.0
110,Yuma,AZ,17.4,26.2,7.5,14.3,71.9,2.2,1.5,2.7,61.7,0.3,2.0,91.3,32.9,41595,18840,20.2,203247,35.5
111,Arkansas,AR,17.5,23.0,6.8,12.4,84.1,0.4,1.0,24.5,3.0,0.0,1.5,72.6,70.2,39633,23045,15.8,18594,19.2
112,Ashley,AR,18.4,23.6,6.5,12.2,84.2,0.8,0.3,25.6,5.2,0.1,1.4,71.9,67.7,35683,19761,18.9,20948,23.6
113,Baxter,AR,30.0,17.8,4.4,16.5,87.6,0.7,0.6,0.4,2.0,0.0,1.5,96.8,95.2,35343,21334,15.5,40857,74.9
114,Benton,AR,13.0,27.0,7.2,28.7,85.8,1.9,3.4,1.9,16.2,0.4,2.3,90.0,74.9,54515,26715,12.2,242321,261.2
115,Boone,AR,19.8,22.6,6.0,15.4,85.4,0.8,0.6,0.4,2.3,0.1,1.8,96.3,94.3,38506,22160,16.6,37196,62.5
116,Bradley,AR,18.3,23.4,6.9,10.8,76.0,1.9,0.5,27.6,14.3,0.0,1.6,68.3,56.3,30409,19386,31.3,11148,17.7
117,Calhoun,AR,19.8,18.1,5.0,7.4,80.5,0.5,0.2,22.0,3.9,0.0,1.6,75.7,72.3,30980,17763,14.9,5202,8.5
118,Carroll,AR,21.1,22.1,5.5,17.3,84.6,1.3,0.9,0.8,14.6,0.6,2.0,94.5,81.1,36584,20637,18.8,27744,43.6
119,Chicot,AR,19.2,23.2,6.7,12.6,74.2,0.5,0.5,54.6,5.6,0.0,0.9,43.5,39.2,26201,16538,33.0,11180,18.3
120,Clark,AR,16.1,19.2,4.9,21.4,86.2,0.6,0.7,24.0,4.4,0.0,1.4,73.4,69.6,32721,17960,24.3,22576,26.6
121,Clay,AR,21.4,20.4,4.3,9.5,76.1,0.4,0.2,0.6,1.8,0.0,1.3,97.4,95.7,31502,18509,20.2,15118,25.2
122,Cleburne,AR,25.4,19.8,4.8,16.8,84.5,0.7,0.3,0.5,2.6,0.0,1.4,97.0,94.8,40246,23044,15.8,25634,46.9
123,Cleveland,AR,19.1,23.4,5.1,13.8,84.8,0.5,0.1,11.4,2.2,0.0,1.3,86.6,84.7,39420,20622,17.7,8449,14.5
124,Columbia,AR,16.6,21.6,5.8,20.3,85.4,0.5,0.9,36.2,2.7,0.0,1.3,61.1,59.4,35128,19439,25.4,23933,32.1
125,Conway,AR,18.3,23.1,5.9,14.7,84.5,0.8,0.6,11.4,4.0,0.0,2.1,85.0,81.5,35225,20040,24.0,21083,38.5
126,Craighead,AR,13.0,24.9,6.9,24.4,84.9,0.6,1.1,14.5,4.7,0.1,1.6,82.2,78.0,41393,23138,20.6,102518,136.4
127,Crawford,AR,15.3,25.1,6.0,14.3,82.2,2.5,1.6,1.6,6.7,0.1,2.8,91.5,85.6,39479,19477,20.2,61697,104.4
128,Crittenden,AR,12.1,27.9,7.7,13.9,79.1,0.4,0.7,51.8,2.3,0.0,1.2,45.9,44.1,37751,19665,26.3,49548,83.5
129,Cross,AR,17.6,24.0,6.9,11.4,79.0,0.3,0.5,22.9,1.9,0.0,1.3,74.9,73.3,38085,18701,17.4,17227,29.0
130,Dallas,AR,20.5,22.3,5.5,10.2,82.1,0.5,0.2,41.3,2.7,0.0,1.5,56.4,54.1,28931,16838,19.7,7755,12.2
131,Desha,AR,17.1,25.6,6.8,12.7,76.9,0.4,0.4,47.9,4.8,0.1,1.0,50.1,46.6,28680,19822,30.1,12264,16.9
132,Drew,AR,16.1,22.4,6.3,19.1,81.3,0.4,0.9,28.0,2.9,0.0,1.1,69.6,67.0,31171,17057,28.5,18622,22.3
133,Faulkner,AR,11.2,23.9,6.6,27.2,89.4,0.7,1.2,11.3,4.1,0.1,2.0,84.6,81.1,50314,24401,14.6,120768,174.8
134,Franklin,AR,18.0,23.6,5.9,12.4,82.1,1.3,0.9,0.9,3.0,0.1,1.6,95.2,92.5,36766,19135,20.5,17805,29.8
135,Fulton,AR,25.4,20.4,4.8,10.0,83.7,0.7,0.3,0.6,1.2,0.0,1.6,96.8,95.8,35522,19326,18.7,12125,19.8
136,Garland,AR,21.7,20.9,5.7,20.9,86.8,0.7,0.8,8.5,5.3,0.1,2.3,87.7,82.9,39162,23170,20.7,97322,141.7
137,Grant,AR,16.1,23.5,5.7,17.6,84.9,0.5,0.4,2.8,2.6,0.0,1.4,94.8,92.7,49004,23239,9.9,18144,28.3
138,Greene,AR,15.0,24.6,6.6,14.7,82.8,0.5,0.3,0.9,2.7,0.0,1.4,96.9,94.5,38413,19652,17.1,43694,72.9
139,Hempstead,AR,16.3,26.4,7.3,14.1,81.7,0.7,0.5,29.9,12.6,0.1,1.9,66.8,55.3,32056,17376,27.4,22327,31.1
140,Hot Spring,AR,17.2,21.6,5.3,12.3,83.4,0.6,0.4,11.6,3.3,0.1,1.8,85.6,82.7,41193,19286,14.2,33368,53.5
141,Howard,AR,16.9,26.1,6.9,12.0,76.0,1.0,0.7,20.9,11.0,0.1,1.4,75.8,65.7,35879,18707,23.2,13500,23.4
142,Independence,AR,17.0,24.0,6.4,14.4,82.5,0.7,0.8,2.3,5.9,0.2,1.5,94.5,89.3,35026,20289,23.7,36959,48.0
143,Izard,AR,25.0,18.2,4.5,11.7,79.8,1.1,0.3,1.8,1.9,0.0,1.4,95.4,93.8,30661,18040,18.7,13486,23.6
144,Jackson,AR,16.7,20.4,5.6,8.8,75.6,0.7,0.4,17.6,2.9,0.1,1.6,79.6,77.1,30284,15609,28.4,17534,28.4
145,Jefferson,AR,15.1,23.3,6.2,17.5,83.0,0.4,0.9,55.5,1.9,0.1,1.3,41.7,40.3,37140,19353,23.9,72297,88.9
146,Johnson,AR,15.8,24.8,7.1,14.7,79.7,1.2,1.2,2.1,13.5,0.1,1.9,93.4,81.1,31003,19366,20.1,26005,38.7
147,Lafayette,AR,21.5,20.2,4.7,10.7,77.5,0.4,0.5,37.1,2.0,0.0,1.0,61.1,59.7,29732,17212,24.1,7111,14.5
148,Lawrence,AR,19.3,22.6,5.6,10.4,77.4,0.5,0.2,1.0,1.3,0.0,1.2,97.1,96.0,32239,15971,25.4,16931,29.6
149,Lee,AR,16.7,19.6,5.4,7.1,70.1,0.6,0.5,54.2,2.7,0.0,1.6,43.1,41.0,25034,12529,31.5,9860,17.3
150,Lincoln,AR,13.5,17.8,4.4,7.9,73.5,0.4,0.3,30.3,3.6,0.0,1.2,67.7,64.8,32697,15023,27.0,13970,25.2
151,Little River,AR,19.5,22.2,5.3,10.6,83.4,1.9,0.4,19.7,3.1,0.0,2.2,75.7,73.3,39673,19880,14.0,12532,24.7
152,Logan,AR,19.2,22.4,5.6,11.7,81.3,1.2,1.9,1.5,2.7,0.0,1.7,93.7,91.4,34996,19046,17.6,21958,31.6
153,Lonoke,AR,12.6,26.4,6.7,18.2,86.7,0.7,0.9,6.2,4.0,0.1,1.8,90.4,86.8,52582,23218,13.2,71557,88.7
154,Madison,AR,17.5,23.5,6.2,10.3,76.6,1.7,0.8,0.4,5.4,0.4,1.6,95.2,90.4,35771,18754,22.6,15740,18.8
155,Marion,AR,26.8,17.3,4.4,12.9,83.6,0.9,0.3,0.4,2.3,0.1,1.8,96.5,94.6,34494,18188,18.9,16367,27.9
156,Miller,AR,15.2,24.1,7.0,13.9,85.1,0.8,0.6,25.1,3.1,0.1,1.8,71.7,69.3,41319,20636,19.5,43428,69.5
157,Mississippi,AR,13.4,26.7,7.0,13.0,77.8,0.5,0.5,34.9,4.0,0.0,1.3,62.8,59.4,36428,18905,24.9,44235,51.6
158,Monroe,AR,20.3,21.2,5.8,11.3,75.3,0.7,0.6,40.3,2.2,0.0,1.7,56.7,55.1,27263,16939,28.8,7582,13.4
159,Montgomery,AR,25.4,19.2,4.3,12.9,82.3,1.3,0.7,0.6,3.6,0.0,2.3,95.1,92.3,31345,19021,22.0,9082,12.2
160,Nevada,AR,19.4,22.7,6.4,12.8,82.1,0.5,0.4,30.5,3.3,0.1,1.6,67.1,64.1,33694,18695,26.5,8723,14.6
161,Newton,AR,24.3,19.5,4.8,12.7,79.8,1.5,0.3,0.3,1.8,0.0,2.4,95.5,94.0,30038,17884,23.5,7904,10.1
162,Ouachita,AR,18.3,23.0,6.2,15.5,84.7,0.4,0.5,40.3,2.2,0.1,1.8,57.0,55.4,32015,18975,23.1,24828,35.6
163,Perry,AR,17.9,22.1,5.2,11.9,84.6,0.8,0.2,2.2,2.8,0.0,2.0,94.8,92.4,42455,22047,15.6,10245,18.9
164,Phillips,AR,16.3,27.2,8.0,12.0,72.8,0.4,0.4,61.6,1.7,0.0,1.2,36.5,35.6,26737,16830,33.5,19930,31.3
165,Pike,AR,18.6,22.8,5.8,13.8,80.1,1.1,0.7,3.5,6.6,0.0,1.5,93.3,87.6,32206,18377,24.8,11024,18.8
166,Poinsett,AR,17.1,23.7,6.4,8.6,73.3,0.3,0.3,8.0,2.7,0.0,1.6,89.8,87.5,32089,16919,28.1,24246,32.4
167,Polk,AR,21.7,23.4,5.9,12.3,85.1,2.0,0.6,0.5,6.4,0.0,2.4,94.5,88.6,32835,19116,23.1,20225,24.1
168,Pope,AR,14.4,22.8,6.2,20.7,81.9,1.0,1.2,3.2,8.4,0.1,2.1,92.4,84.8,40453,19918,19.3,63201,76.0
169,Prairie,AR,22.0,20.2,5.0,9.3,78.6,0.4,0.1,11.7,1.2,0.0,1.0,86.7,85.7,34855,18137,21.2,8304,13.4
170,Pulaski,AR,13.5,23.7,7.0,31.2,89.2,0.5,2.2,36.0,6.0,0.1,2.0,59.2,54.0,46013,27414,17.2,392702,503.8
